specID,taxon,side,nTurns,volume,cochleaHeight,cochleaWidth,canalLength,sslLength,sslExtent,basalRatio,axialPitch,W2,ITD,maxRadius,FC
900519,Phocoena_sinus,Right,1.83,92.73,4.16,9.47,25.84,21.64,83.75,0.44,2.27,6.52,1.04,NA,5.44
365B,Phocoena_phocoena,Left,1.75,110.38,4.22,8.38,21.401,18.88,88.2,0.5,2.41,6.64,1.21,0.43,4.6
365I,Phocoena_phocoena,Left,1.75,95.82,4.08,8.47,21.706,18.5,85.23,0.48,2.33,6.48,1.27,0.42,4.26
AMNH57333,Lipotes_vexillifer,Left,2.25,185.63,5.86,11.3,31.3,25.88,82.68,0.52,2.6,8.7,1.82,NA,4.02
AMNH73315,Monodon_monoceros,Left,2.25,273.98,6.13,11.9,34.13,27.83,81.55,0.52,2.72,11,1.83,NA,10.41
IRSNB_20137,Sotalia_guianensis,Left,1.9,113.54,4.3,9.98,30.24,28.12,92.97,0.43,2.26,7.36,1.39,0.599,4.37
IRSNB_21219,Phocoena_spinipinnis,Right,1.75,99.14,4.32,8.08,24.99,22.21,88.88,0.53,2.47,6.14,1.16,0.401,6.34
IRSNB16232,Mesoplodon_bidens,Right,1.8,360.67,6.84,10.5,26.37,24.51,92.96,0.65,3.8,7.58,2.77,NA,8.14
MNHN1934.375,Pontoporia_blainvillei,Right,2.1,91.57,4.05,8.46,26.31,22.9,87.03,0.48,1.93,7.08,0.93,NA,4.53
NHMUK_1925.4.29,Phocoena_phocoena,Left,1.75,90.41,4.18,8.55,22.019,20.08,91.19,0.49,2.39,6.11,1.25,0.41,6.13
NHMUK_1933.15,Phocoena_phocoena,Left,1.75,104.76,4.46,8.09,23.494,19.94,84.87,0.55,2.55,7.1,1.16,0.36,6.33
NHMUK_1933.17,Phocoena_phocoena,Right,1.75,105.89,5.26,8.86,22.99,21.11,91.83,0.59,3.01,6.81,1.42,0.45,3.37
NHMUK_1934.45,Phocoena_phocoena,Left,1.75,98.89,4.19,8.25,22.377,19.67,87.88,0.51,2.39,6.4,0.92,0.44,4.97
NHMUK_1934.51,Phocoena_phocoena,Left,1.75,106.11,4.77,8.65,22.734,21.1,92.79,0.55,2.73,7.57,1.23,0.39,6.73
