specID,taxon,side,nTurns,volume,cochleaHeight,cochleaWidth,canalLength,sslLength,sslExtent,basalRatio,axialPitch,W2,ITD,maxRadius,FC
NHMUK_1965.3.30.1,Phocoena_phocoena,Left,1.75,90.81,4.22,7.88,19.261,17.03,88.41,0.54,2.41,6.17,1.3,0.47,8.86
NHMUK_1992.263,Phocoena_phocoena,Left,1.75,105.42,4.42,8.17,21.748,20.31,93.39,0.54,2.53,6.61,1.49,0.51,7.08
NHMUK_92.965,Phocoena_phocoena,Left,1.75,92.23,3.98,8.41,20.826,18.22,87.48,0.47,2.27,6.07,1.06,0.44,5.85
NHMUK_CE1841.1733,Lagenorhynchus_obscurus,Left,1.9,139.35,4.86,9.77,29.05,27.27,93.87,0.5,2.56,7.6,1.75,0.67,5.64
NHMUK_CE1848.7.12.12,Lagenorhynchus_albirostris,Right,2,140.81,5.18,9.35,29.34,28.32,96.52,0.55,2.59,7.8,1.71,0.588,6.54
NHMUK_CE1856.8.2.2,Sotalia_fluviatilis,Right,2.1,107.99,4.45,8.59,28.21,24.15,85.59,0.52,2.12,6.78,1.16,0.412,4.54
NHMUK_CE1862.12.2.2,Hyperoodon_ampullatus,Right,2,626.25,9.77,13.96,34.58,29.42,85.09,0.7,4.89,11.07,2.55,0.949,33.63
NHMUK_CE1866.8.7.1,Tursiops_truncatus,Right,1.9,154.46,4.27,9.96,32.53,29.69,91.29,0.43,2.25,7.7,1.53,0.646,4.3
NHMUK_CE1874.11.25.1,Feresa_attenuata,Right,2,167.09,4.76,9.17,26.48,23.47,88.65,0.52,2.38,8.34,1.98,0.61,10.96
NHMUK_CE1876.2.16.3,Mesoplodon_hectori,Right,1.9,402.98,7.22,10.2,28.77,25.54,88.77,0.71,3.8,8.24,2.42,0.74,13.54
NHMUK_CE1882.1.2.3,Tursiops_aduncus,Right,2,155.14,5.56,9.97,34.96,31.15,89.08,0.56,2.78,9.09,2.03,0.49,7.85
NHMUK_CE1883.11.20.2,Orcaella_brevirostris,Right,2.3,171.38,5.58,10.9,36.87,32.31,87.65,0.51,2.43,8.81,2.05,0.614,7.76
NHMUK_CE1893.8.1.1,Sousa_teuszii,Right,1.9,168.19,5.41,11,31.06,27,86.93,0.49,2.85,8.02,2.51,0.619,6.6
NHMUK_CE1895.5.9.1,Lagenodelphis_hosei,Right,2,108.51,4.33,9.28,29.67,27.84,93.82,0.47,2.17,7.74,1.24,0.57,2.5
NHMUK_CE1903.9.12.3,Neophocaena_phocaenoides,Right,1.9,122.6,4.32,10.1,30.11,26.41,87.72,0.43,2.27,7.67,1.28,0.556,5.36
NHMUK_CE1914.1.14.1,Sousa_chinensis,Right,1.9,179.88,5.34,10.3,33.47,29.27,87.47,0.52,2.81,7.82,1.95,0.626,8.9
NHMUK_CE1915.7.20.1,Ziphius_cavirostris,Right,2,335.65,7.29,8.82,28.99,27.8,95.9,0.83,3.65,7.51,3.83,0.754,11.7
NHMUK_CE1920.12.16.1,Grampus_griseus,Right,2.25,201.17,5.84,10.17,33.59,32.54,96.87,0.57,2.6,9.02,2.14,0.723,12.19
NHMUK_CE1920.5.20.14.52,Mesoplodon_mirus,Right,2,353.53,7.92,12.3,28.58,26.38,92.29,0.64,3.96,8.74,3.12,0.931,4.52
NHMUK_CE1940.3.2.1,Stenella_coeruleoalba,Right,1.9,115.29,4.9,8.7,28.21,24.5,86.85,0.56,2.58,7.26,1.36,0.54,5.82
NHMUK_CE1944.11.30.1,Lagenorhynchus_australis,Right,1.9,95.95,4.34,8.71,23.85,21.38,89.68,0.5,2.28,6.77,1.5,0.545,5.11
NHMUK_CE1948.7.27.1,Cephalorhynchus_heavisidii,Right,2,101.1,4.23,8.72,23.91,21.74,90.92,0.49,2.12,6.41,1.8,0.71,8.69
NHMUK_CE1952.6.20.4,Cephalorhynchus_commersonii,Right,1.9,92.7,4.26,10.92,25.15,21.95,87.29,0.39,2.24,6.48,1.32,0.5,3.27
NHMUK_CE1952.8.28.1,Kogia_sima,Right,1.8,106.83,4.21,8.57,23.74,22.16,93.34,0.49,2.34,6.7,1.6,0.657,7.15
NHMUK_CE1960.8.24.1,Lagenorhynchus_cruciger,Right,1.8,92.4,4.38,7.58,25.25,23.89,94.62,0.58,2.43,6.26,1.76,0.527,5.41
NHMUK_CE1965.1.19.2,Phocoenoides_dalli,Right,1.8,101.4,4.48,7.67,22.35,19.88,88.97,0.58,2.49,6.97,0.88,0.44,3.76
NHMUK_CE1966.10.25.1,Lagenorhynchus_obliquidens,Right,1.9,132.11,5.01,9.68,29.57,27.93,94.45,0.52,2.64,7.6,1.63,0.437,7.8
NHMUK_CE1982.315,Berardius_arnuxii,Right,2.1,73.93,8.7,15.49,33.2,29.39,88.54,0.56,4.14,9.72,2.18,0.883,16.47
NHMUK_CE1990.104,Stenella_longirostris,Right,1.8,84.16,3.76,7.8,23.56,20.47,86.85,0.48,2.09,6.09,1.42,0.5,4.2
NHMUK_CE1990.98,Stenella_attenuata,Right,2,88.66,4.12,8.5,26.73,23.6,88.29,0.48,2.06,6.36,1.27,0.494,2.93
NHMUK_CE1992.100,Peponocephala_electra,Right,2.25,133.53,4.92,9.57,30.79,27.05,87.85,0.51,2.19,7.27,1.83,0.59,4.02
NHMUK_CE1992.248,Pseudorca_crassidens,Right,2.1,246.91,6.29,11.5,33.15,29.23,88.17,0.55,3,8.59,2.75,0.678,13.41
NHMUK_CE893_2,Physeter_macrocephalus,Left,2,99.28,9.24,14.1,40.31,36.08,89.5,0.66,4.62,12.3,2.29,1.6,22.95
NHMUK_CESW1927.28,Orcinus_orca,Right,2,296.01,7.93,12.2,37.22,34.12,91.68,0.65,3.97,9.88,2.12,0.659,20.75
NHMUK_CESW1928.19,Lagenorhynchus_acutus,Right,2.1,134.99,5.19,9.84,30.98,28.55,92.13,0.53,2.47,8.09,1.73,0.6,4.53
NHMUK_SW1926.29,Phocoena_phocoena,Right,1.75,99.7,4.05,8.54,22.55,19.99,88.67,0.47,2.31,7.24,0.96,0.48,5.76
NHMUK_SW1934.14,Phocoena_phocoena,Left,1.75,102.03,4.61,8.68,23.617,21.32,90.27,0.53,2.63,6.86,1.11,0.57,5.76
NHMUK_SW1934.31,Phocoena_phocoena,Left,1.75,89.19,4.25,8.47,23.205,21.22,91.44,0.5,2.43,5.96,1.22,0.56,5.02
NHMUK_SW1934.32,Phocoena_phocoena,Left,1.75,111.85,4.73,8.54,22.281,20.02,89.86,0.55,2.7,7.15,1.21,0.57,6.17
NHMUK_SW1937.24,Phocoena_phocoena,Left,1.75,103.7,4.73,8.23,25.424,22.8,89.68,0.57,2.7,6.46,1.16,0.48,6.38
NHMUK_SW1954.15,Phocoena_phocoena,Left,1.75,89.49,4.04,7.68,22.237,19.93,89.6,0.53,2.31,7.22,1.09,0.56,4.46
NHMUK1934.7.23.3,Hyperoodon_planifrons,Left,1.9,510.22,7.85,13.3,28.96,25,86.35,0.59,4.13,9.8,2.78,0.85,13.68
NHMUKCE1939.9.30.1,Phocoena_dioptrica,Right,1.75,96.5,4.32,8.41,22.8,17.24,75.61,0.51,2.47,6.22,1.46,0.463,4.77
NMB10131,Phocoena_phocoena,Right,1.75,102,4.79,7.24,24.735,20.51,82.94,0.66,2.74,6.42,1.13,NA,4.19
NMB6679,Delphinus_delphis,Right,1.8,110.26,4.23,9.57,25.35,24.4,96.25,0.44,2.35,7.57,1.54,NA,3.12
NMB7167,Inia_geoffrensis,Right,1.75,200.04,5.08,11.9,32.69,28.98,88.65,0.43,2.9,8.72,1.24,NA,5.27
NMBC111425,Tursiops_truncatus,Left,2,171.84,4.84,9.69,31.16,26.16,83.96,0.5,2.42,7.2,2,NA,4.68
NMBCIII1086,Delphinapterus_leucas,Right,1.9,309.58,5.66,14.4,46.8,44.43,94.94,0.39,2.98,11.9,2.33,NA,4.37
NMNH571892,Phocoena_phocoena,Left,1.94,76.35,3.95,8.9,21.98,17.97,81.76,0.44,2.04,5.99,1.09,NA,4.27
NMNH572016,Phocoena_phocoena,Left,1.66,74.95,4.52,8.84,21.4,17.6,82.24,0.51,2.72,6.59,1.17,NA,4.21
NMVC24976,Kogia_breviceps,Left,1.75,112.14,4.36,9.54,23.28,21.78,93.59,0.46,2.49,7.9,1.85,NA,1.38
NMVC27417.2,Platanista_gangetica,Right,2,198.14,5.53,12.3,36.71,32.02,87.23,0.45,2.77,9.97,1.78,0.49,6.51
NMVC27654,Phocoena_phocoena,Left,1.5,85.51,4.41,7.91,21.977,19.44,88.45,0.56,2.94,5.77,1.3,NA,2.58
NMVC31378,Mesoplodon_grayi,Left,2,207.17,6.43,9.77,24.25,21.11,87.06,0.66,3.22,7.25,2.27,NA,22.94
NMVC36961,Steno_bredanensis,Left,1.75,157.53,7.29,8.9,28.08,24.44,87.05,0.82,4.17,8.71,1.93,0.591,8.49
NMVC37967.6,Tasmacetus_shepherdi,Right,1.8,695.48,7.76,9.76,28.56,22.73,79.58,0.79,4.31,8.51,3.52,0.753,11.89
QMJM4700,Orcaella_heinsohni,Right,1.75,187.29,5.73,10.6,37.15,33.24,89.48,0.54,3.27,8.94,1.8,0.62,8.55
SDSNH21212,Tursiops_truncatus,Right,1.9,146.41,4.47,10.4,31.98,27.3,85.38,0.43,2.35,7.76,1.57,NA,5.74
NHMUK_CE1947.12.31.4,Globicephala_melas,Right,2.5,395.89,5.65,10.6,32.42,30.84,95.13,0.53,2.26,7.83,2.05,,11.8
