filename,specID,taxon,family,group,habitat,habitat1,habitat2,diet,feeding,feeding1,feeding2,bodysize,divetype,hearingtype
Berardius-arnuxii_NHMUK_CE1982.315_2.pts,NHMUK_CE1982.315,Berardius_arnuxii,Ziphiidae,Other,oceanic,oceanic,oceanic,generalist,suction,suction,suction,9000,verydeep,Type2
Cephalorhynchus-commersonii_NHMUK_CE1952.6.20.4_2.pts,NHMUK_CE1952.6.20.4,Cephalorhynchus_commersonii,Delphinidae,Other,nearshore,nearshore,nearshore,generalist,raptorial/suction,raptorial,suction,66,shallow,NBHF
Cephalorhynchus-heavisidii_NHMUK_CE1948.7.27.1_2.pts,NHMUK_CE1948.7.27.1,Cephalorhynchus_heavisidii,Delphinidae,Other,nearshore,nearshore,nearshore,generalist,raptorial/suction,raptorial,suction,75,shallow,NBHF
Delphinapterus-leucas_NMBCIII1086.pts,NMBCIII1086,Delphinapterus_leucas,Mondontidae,Other,nearshore/oceanic,nearshore,oceanic,fish,suction,suction,suction,1600,mid,Type2
Delphinus-delphis_NMB6679.pts,NMB6679,Delphinus_delphis,Delphinidae,Other,nearshore/oceanic,nearshore,oceanic,fish,raptorial,raptorial,raptorial,200,mid,Type2
Feresa-attenuata_NHMUK_CE1874.11.25.1_2.pts,NHMUK_CE1874.11.25.1,Feresa_attenuata,Delphinidae,Other,oceanic,oceanic,oceanic,generalist,raptorial,raptorial,raptorial,225,deep,Type2
Globicephala-melas_NHMUK_CE1947.12.31.4_2.pts,NHMUK_CE1947.12.31.4,Globicephala_melas,Delphinidae,Other,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,2300,deep,Type2
Grampus-griseus_NHMUK_CE1920.12.16.1_3.pts,NHMUK_CE1920.12.16.1,Grampus_griseus,Delphinidae,Other,nearshore/oceanic,nearshore,oceanic,cephalopods,suction,suction,suction,500,deep,Type2
Hyperoodon-ampullatus_NHMUK_CE1862.12.2.2_2.pts,NHMUK_CE1862.12.2.2,Hyperoodon_ampullatus,Ziphiidae,Other,oceanic,oceanic,oceanic,generalist,suction,suction,suction,10000,verydeep,Type2
Hyperoodon-planifrons_NHMUK1934.7.23.3_2_reflected.pts,NHMUK1934.7.23.3,Hyperoodon_planifrons,Ziphiidae,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type2
Inia-geoffrensis_NMB7167.pts,NMB7167,Inia_geoffrensis,Iniidae,Other,riverine,riverine,riverine,fish,raptorial,raptorial,raptorial,207,shallow,Type2
Kogia-breviceps_NMVC24976_2_reflected.pts,NMVC24976,Kogia_breviceps,Kogiidae,Other,oceanic,oceanic,oceanic,generalist,suction,suction,suction,680,deep,NBHF
