PC,outgroup,df1,df2,F,p
PC1,all,1,25,0.34955428331013944,0.5596738723603312
PC2,all,1,25,0.13433736176867303,0.7170604409596677
PC3,all,1,25,0.626267479610593,0.4361720713162366
PC4,all,1,25,0.004775089121097255,0.9454581712881382
PC5,all,1,25,22.41060473673753,7.424382733448529e-5
PC6,all,1,25,0.1489659321274543,0.70279056670002
PC7,all,1,25,0.4193962697074203,0.5231416343780946
PC8,all,1,25,6.306388616281941,0.018860139608316572
PC9,all,1,25,0.04591328361810803,0.8320716296097689
PC10,all,1,25,0.9753774442622839,0.33280547107857084
PC11,all,1,25,1.0568367891379444,0.31378207119279217
PC12,all,1,25,0.2396708416595189,0.628712221223075
PC13,all,1,25,0.007449981227906014,0.9319049749582966
PC14,all,1,25,1.0534419042525642,0.3145447551756134
PC15,all,1,25,0.25148719118076085,0.6204174545810565
PC16,all,1,25,0.010080673486234391,0.9208255931560392
PC1,living,1,19,8.169217971872815,0.01006040942631424
PC2,living,1,19,0.4031478134258314,0.5330403706891407
PC3,living,1,19,0.3475337949399468,0.5624577665912637
PC4,living,1,19,2.780851731431941,0.11179555214338972
PC5,living,1,19,7.573696715244066,0.012678895963649935
PC6,living,1,19,0.1317372001778286,0.720644112313678
PC7,living,1,19,0.20148344455199474,0.6586037173309809
PC8,living,1,19,6.0167052833856545,0.024002663370836796
PC9,living,1,19,0.6379479753876315,0.43432595978625765
PC10,living,1,19,0.2593753990876158,0.616413581235966
PC11,living,1,19,1.2218761633800288,0.2827940195769831
PC12,living,1,19,1.483794287936796,0.23809270743844857
PC13,living,1,19,0.5993682730751716,0.44834626648963305
PC14,living,1,19,1.0680732770544252,0.3143571955117197
PC15,living,1,19,0.07221982715263382,0.7910280808602164
PC16,living,1,19,0.24329822037584684,0.627486797508183
PC1,fossil,1,23,0.5629767146033727,0.4606707888779574
PC2,fossil,1,23,0.007331336439013469,0.9325069380148487
PC3,fossil,1,23,0.3336577711109863,0.5691254459381072
PC4,fossil,1,23,0.9825188721944165,0.33189192369559906
PC5,fossil,1,23,18.510284587131203,2.650123047337428e-4
PC6,fossil,1,23,0.34549653631032823,0.5624008309235647
PC7,fossil,1,23,0.35560056360337705,0.5567839544015396
PC8,fossil,1,23,3.2955724977779153,0.08252888764597237
PC9,fossil,1,23,0.025770718523409678,0.8738631720821697
PC10,fossil,1,23,2.150124062689507,0.15609833533614728
PC11,fossil,1,23,0.4412645119415278,0.513117908513181
PC12,fossil,1,23,0.0014237692737452115,0.9702262705674578
PC13,fossil,1,23,0.20796317754896906,0.6526452968862397
PC14,fossil,1,23,4.217359854799731,0.0515525275587155
PC15,fossil,1,23,0.49062799294726495,0.49067291916860323
PC16,fossil,1,23,0.019923325018880514,0.8889804306290581
