PC,df1,df2,F,p
PC1,1,67,10.439665447511649,0.001913435405703711
PC2,1,67,0.3155806081955754,0.5761501720442515
PC3,1,67,27.439296152230547,1.767378989817964e-6
PC4,1,67,2.150851320153664,0.14716901936458957
PC5,1,67,2.582187589532491,0.11277521845336613
PC6,1,67,2.2253660542422278,0.14045420044164927
PC7,1,67,0.6174417538097705,0.43476967941778
PC8,1,67,0.0573176928971181,0.8115176780417164
PC9,1,67,1.546345957272178,0.21800927700939038
PC10,1,67,4.20866273105423,0.04413021252225685
PC11,1,67,2.819000107970058,0.0978127234750851
PC12,1,67,1.7232842103806092,0.1937497427170677
PC13,1,67,0.31865152808404057,0.5743041928702532
PC14,1,67,1.326751214192038,0.25347763147142355
PC15,1,67,0.09387335876279043,0.7602596599735557
PC16,1,67,2.9894182866353933,0.08841582543234147
PC17,1,67,0.04637760964941758,0.8301450727055817
PC18,1,67,0.4076096595740373,0.5253616324813575
PC19,1,67,0.2017675935231808,0.6547475183920561
PC20,1,67,0.849678796435034,0.3599506294450221
PC21,1,67,3.3445904159755826,0.07187719364113135
PC22,1,67,0.23504368949699175,0.6293902892214447
PC23,1,67,0.446291140155109,0.5063963962865283
PC24,1,67,0.07710595179120837,0.7821133810590322
PC25,1,67,0.0743648903666168,0.7859231253389156
PC26,1,67,0.2862252656020454,0.5944209121834361
