PC,df1,df2,F,p
PC1,1,67,24.303334225087937,5.701256112729006e-6
PC2,1,67,8.236679829599986,0.00548791389012443
PC3,1,67,0.08828678044613397,0.7672858333725882
PC4,1,67,5.138670757461521,0.026631264445952624
PC5,1,67,1.1165876827597072,0.29444966311881926
PC6,1,67,0.22860725381685415,0.6341148708353533
