filename,specID,taxon,family,group,habitat,habitat1,habitat2,diet,feeding,feeding1,feeding2,bodysize,divetype,hearingtype,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Neophocoena_phocaenoides_NHMUK_CE1903.9.12.3_2.pts,NHMUK_CE1903.9.12.3,Neophocaena_phocaenoides,Phocoenidae,Other,nearshore,nearshore,nearshore,generalist,suction,suction,suction,55,shallow,NBHF,7.063320552184424,-0.09327590772102176,-1.0861447578652763,-0.857981094389555,-0.12307547570965623,-0.04721644146874233,-0.7898648518652654,0.07735679556767829,-0.13215882637431714,-0.1077080869169739,0.00719242637752391,0.014429881395251858
Phocoena-dioptrica_NHMUK_CE1939.9.30.1_2.pts,NHMUKCE1939.9.30.1,Phocoena_dioptrica,Phocoenidae,Other,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,115,mid,NBHF,-1.2833712942073727,1.1272513917478078,-2.0769347737476864,-1.7033494797354993,2.8249502286844037,-0.22340058633660526,0.04898340434833326,-0.15818474600042992,0.2750894360952256,0.10542439028342535,0.005868970222391615,0.004026930719705688
Phocoena-phocoena_NHMUK_1846.12.15.6_2_reflected.pts,365B,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.04937718250699347,0.5921957103586171,0.16254348359545623,-0.06198561316683464,0.4628954041136824,-1.3111239715856473,-0.3655725105922955,0.4462744268416047,-1.136003035223577,-0.001116069629697024,-0.0036767395221868997,-0.0064265063979025835
Phocoena-phocoena_NHMUK_1873.6.3.45_2_reflected.pts,365I,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.6577555370784948,1.7864808774149359,-0.7540866534319004,-0.5884971604013848,0.4064853209843553,-0.9916021333406244,-0.21000761578371335,0.46895475371800666,0.06616076878674633,0.02606054100679888,-0.01871348720002951,0.009044050782763536
Phocoena-phocoena_NHMUK1925.4.29.1_2_reflected.pts,NHMUK_1925.4.29,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.5682442537915198,1.3991376298270566,0.6256051932598397,-0.9877758347256609,-0.9946270219627634,0.4483887793571163,0.2067122966506325,0.44758779704148954,0.1789879057379998,-0.0345322267927802,-0.010239322832419288,-0.0039991839917687885
Phocoena-phocoena_NHMUK1933.15_2_reflected.pts,NHMUK_1933.15,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.20021681720380485,-0.47668549017549083,0.27298508872364635,0.5888409004884426,1.2684313383690762,0.09694741493805664,-0.3349323664042507,-0.8337875660786813,0.1233634411474916,0.0497166040026898,0.008604701441290451,-0.0044015390282612175
Phocoena-phocoena_NHMUK1933.17_2.pts,NHMUK_1933.17,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.0043039788302439985,-4.297450492382896,-0.4300123970407169,-1.0965302243340689,-0.28505804067308455,-1.0115376955758213,1.0611808327180017,0.8857562777855678,0.3261385606242691,0.037390390612405754,-8.722354773625721e-4,-1.3434100648835288e-6
Phocoena-phocoena_NHMUK1934.45_2_reflected.pts,NHMUK_1934.45,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.3557011453137896,1.2710113662320897,-0.21075370256747908,1.3539697545902487,-0.4250024052994916,-0.07164973436216109,0.4518863900667106,-0.09600246021178299,-0.6994160856899421,-0.038135231262862924,-0.016065699178748446,0.005173222038278474
Phocoena-phocoena_NHMUK1934.51_2_reflected.pts,NHMUK_1934.51,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.0334842346603859,-2.093689119734564,1.7831010622879118,-0.03154609173107406,-0.11729402473737341,-0.6496297922793923,0.17512908581294687,-0.7062176746847043,0.6037357573668469,2.18257950971466e-5,0.005237365971987732,0.002933882312828414
Phocoena-phocoena_NHMUK1965.3.30.1_2_reflected.pts,NHMUK_1965.3.30.1,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-2.2594097076595294,1.542814960136959,2.514980914087959,-0.950646603872134,1.1266434327098125,0.9038934975149722,0.2865081091665759,-0.15995476076850057,0.22750307373930348,-0.1395209384734205,0.01180295615175124,0.01628660319739833
