filename,specID,taxon,family,group,habitat,habitat1,habitat2,diet,feeding,feeding1,feeding2,bodysize,divetype,hearingtype,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Phocoena-dioptrica_NHMUK_CE1939.9.30.1_2.pts,NHMUKCE1939.9.30.1,Phocoena_dioptrica,Phocoenidae,Other,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,115,mid,NBHF,1.3756915840515165,-1.7432166763744223,-0.10541362906262372,2.5843358446749267,2.4846272718172435,0.5742884969557436,-0.09054298791012422,-0.5173017754289073,-0.30742459149849954,0.08593156501588943,-0.0031603697565539502,-0.003302351432968579
Phocoena-phocoena_NHMUK_1846.12.15.6_2_reflected.pts,365B,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.6275245854236309,0.1263348131455594,1.0051086816164594,0.4063730170049313,0.5791476677143069,-1.1379974316766912,0.2891795872894406,1.2986310420812954,-0.6717400537252458,-0.05048819521292976,0.0026311851721779024,0.007811367420988697
Phocoena-phocoena_NHMUK_1873.6.3.45_2_reflected.pts,365I,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.9792352031336828,-0.5966417075807908,0.04313852999332196,0.36937731872686863,1.0655406961886713,-0.6190967873715075,0.6507140439377019,0.09805064323773333,-0.1845495089183125,0.0022086369987478704,-0.020828338793240534,0.0076186432614819945
Phocoena-phocoena_NHMUK1925.4.29.1_2_reflected.pts,NHMUK_1925.4.29,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.5202402838276494,-0.12928896630464345,0.06948353360149256,-1.3765785127888186,0.1673936734724893,0.910505667191269,0.28237108049509957,-0.005381728080374709,0.22389615050312517,-0.03399421722772747,-0.010379152894431129,-0.007983298409695912
Phocoena-phocoena_NHMUK1933.15_2_reflected.pts,NHMUK_1933.15,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.7069625136828399,0.6046133076830285,0.4602561567719025,1.3982747058814124,-0.49122680237824035,-0.2588990101330306,-0.4549060303870065,-0.5018151938384918,-0.4290335975110821,0.027138224291117424,0.010060653141346146,-3.748665638395647e-4
Phocoena-phocoena_NHMUK1933.17_2.pts,NHMUK_1933.17,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-4.17750416326158,-0.21744011149204745,0.22293847921889975,-0.7306633849789091,2.0254894814519924,-0.42611919237358864,0.6408695874387651,0.23612135361189718,1.0287697054818719,0.06281917457160875,0.013879933129803396,-0.0010369953825693427
Phocoena-phocoena_NHMUK1934.45_2_reflected.pts,NHMUK_1934.45,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.2439601401218654,0.37172676068809346,-0.6470885850555457,0.18991903408623875,-0.982553287632958,-0.8631004447692244,-0.4161473988095803,0.9191373728064538,0.4746359314384164,0.004820074173189278,-1.775511167704137e-4,0.00310687092431913
Phocoena-phocoena_NHMUK1934.51_2_reflected.pts,NHMUK_1934.51,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-2.2552575938282735,1.6002150430597928,1.5170371561376117,-0.7025701558956794,0.0020546934047322996,-0.6030824628539964,-0.2988301822578978,-0.87441067168121,0.047243955705825985,-0.014743378833947818,-8.323017464439994e-4,0.007922615848992932
Phocoena-phocoena_NHMUK1965.3.30.1_2_reflected.pts,NHMUK_1965.3.30.1,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,2.075324742767464,-1.7476095839855699,2.90899605810218,0.08732320273062921,-0.8409268453567453,1.5157471365588053,-0.6394339492976104,-0.36694543383227496,0.8106048770363694,-0.02699004811169948,0.0017623096589926678,0.006129540124998819
Phocoena-phocoena_NHMUK1992.263_3_reflected.pts,NHMUK_1992.263,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.8153039611030461,-0.09223162956506087,2.174089647574921,-0.8224315405716769,0.13105806391095304,1.1455489913317254,0.7455089293727607,0.1252956340064585,-0.9631453305125504,-0.09586571205817185,0.00449711633180086,-0.006703427687831168
Phocoena-phocoena_NHMUK92.265_2_reflected.pts,NHMUK_92.965,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,3.0959549502661896,-0.4378415105373855,0.2519256937421781,-0.3041694297781671,-0.19211673443207786,-0.15502169276019925,-0.3899400408870068,0.6299764584620133,0.539168876977723,0.06380377295687233,0.012574440454677217,-0.003803703829289342
Phocoena-phocoena_NHMUKSW1926.29_2.pts,NHMUK_SW1926.29,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.613586192989512,1.7207843653714092,0.04593655298288635,-0.14528838154320142,-0.7007160157489445,-1.5508117900544272,-0.3471297889152726,-0.31831395739702384,-0.2887535470465285,0.03505719129355468,-1.8352676978247706e-4,-0.012267622651813675
Phocoena-phocoena_NHMUKSW1934.14_2_reflected.pts,NHMUK_SW1934.14,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-1.1553764132593303,1.3183525589300296,-0.2506956797012098,-0.5428765997229209,0.004322564993882581,-0.25140994066365074,-0.4558170531707943,-0.07998473093084316,0.22452040015924124,0.006828228282019302,-0.02626606391191131,-0.0026705301140176048
Phocoena-phocoena_NHMUKSW1934.31_2_reflected.pts,NHMUK_SW1934.31,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.8626969058082563,-0.0947078224835188,-1.1733262589100915,-1.4637115163272167,0.010811821465629992,0.9657523921816517,0.7068097493291987,0.18905267006393978,0.24048646038175706,0.046096178950789254,-0.003949775590827996,-0.0013517468343922433
Phocoena-phocoena_NHMUKSW1934.32_2_reflected.pts,NHMUK_SW1934.32,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-1.8486055866052278,0.9548554225813495,1.5305456308065495,0.19320773983484085,0.33756812401113445,-0.7087445155061196,-0.5759127910697037,0.2686461549571658,-0.07241718829055521,-0.009981238665464897,7.279855893745989e-4,-0.004637251589979504
Phocoena-phocoena_NHMUKSW1937.24_2_reflected.pts,NHMUK_SW1937.24,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-2.4099559433030735,1.1315561555922429,-1.0144370165512275,-0.09863689418927021,-0.7643133071165581,1.2501114637048172,-0.3993173459507148,0.12655551530549708,-0.30825646849664606,0.08244558936637589,-0.011120816873028782,0.005527738063248315
Phocoena-phocoena_NHMSW1954.15_2_reflected.pts,NHMUK_SW1954.15,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.1778535876346006,-0.18543594858514462,-0.17728791479674327,0.18170319053156087,-1.8039822005947064,-1.2278014021560673,1.4568533578144955,-0.9993619462647676,0.1212012061935205,0.03420856508296496,0.005439928032451729,0.0034078862856613728
Phocoena-phocoena_NMB10131.pts,NMB10131,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-2.7795822956548815,-1.4164206579921965,-1.2550713571425067,2.6580111789508045,-1.6309289035840653,0.4017301660053042,0.3608391615922941,0.34095097259574303,0.5350760686262245,-0.11060265980471161,-0.004051656604769149,-0.004912766119204924
Phocoena-phocoena_NMVC27654_2_reflected.pts,NMVC27654,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.992855185518165,-5.081024449234654,-1.8728771174563223,-1.7704688847770305,0.08139999151992522,-0.9581329313758935,-0.7833539494985637,-0.38239090841388357,-0.4919896527761545,-0.049446342432718865,0.0036719169869168706,0.001100054718001614
Phocoena-sinus.pts,900519,Phocoena_sinus,Phocoenidae,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBHF,1.9272658835834808,3.1624607286152226,-2.4858647678235934,0.05370388970984708,1.491737282699838,0.5213094916980456,-0.27459378504319415,-0.4907635748862475,0.24118396861064811,-0.14999387805046674,0.011945005383010784,0.003518117201543507
Phocoena-spinipinnis_IRSNB_21219_2.pts,IRSNB_21219,Phocoena_spinipinnis,Phocoenidae,Other,nearshore,nearshore,nearshore,generalist,suction,suction,suction,105,shallow,NBHF,-0.35793040339144716,0.750959908468742,-1.2473937940485273,-0.16483382155914533,-0.9743872358064799,1.4752237960670342,-0.007220194072292907,0.3042521036258141,-0.7694776623391375,0.09074846941470203,0.013759080177201344,0.0029017267663526574
