filename,specID,taxon,family,group,habitat,habitat1,habitat2,diet,feeding,feeding1,feeding2,bodysize,divetype,hearingtype,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,side,origin,sex,cbl
Phocoena-phocoena_NHMSW1954.15_2_reflected.pts,NHMUK_SW1954.15,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.3374573117010955,-0.2942264796238683,1.2532120653703547,-0.3372345172684679,0.3883110861241869,-1.6261843785982166,1.5806909245302807,0.46652739753844114,0.07166420654746203,0.04130362791120238,-0.005676194435366154,-0.001705051766307025,Left,UK,NA,251
Phocoena-phocoena_NHMUK_1846.12.15.6_2_reflected.pts,365B,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.9387746729844326,0.6559338845190819,0.018131059800523895,0.3748646218174265,-1.5139840224096086,0.5963005894767477,0.38720996827201865,-0.7276602730281762,0.7597658361912535,0.005564391688636661,-0.007143969639829214,0.00400621022825565,Left,UK,NA,241
Phocoena-phocoena_NHMUK_1873.6.3.45_2_reflected.pts,365I,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,2.1310184742158427,-0.27187378339622087,0.08302853244574981,-0.1324529540545754,-1.1880804041885922,1.0970196248431752,0.7226264399105471,-0.2580262329218216,-0.85461270590221,-0.014352505903413233,-0.015392784080202677,-8.129611265845478e-4,Left,Atlantic,NA,NA
Phocoena-phocoena_NHMUK92.265_2_reflected.pts,NHMUK_92.965,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,3.342527895857856,0.054632368716036744,0.05478547735355144,-0.27825475309395364,-0.1820037018823824,0.6117445868541734,-0.5387123408266268,0.3594330370839929,0.1774553965226442,0.04306111377506076,0.011512401478873328,-1.4253913561586588e-4,Left,UK,NA,NA
Phocoena-phocoena_NHMUK1925.4.29.1_2_reflected.pts,NHMUK_1925.4.29,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.4638704317604727,0.4118444961472979,-1.2386233473149564,-0.7615369632066066,1.0859997127120322,0.48441191864303945,0.07204021883393635,0.10798063552148492,-0.1938735610276448,-0.06791456185825279,0.007459596368920494,0.00053810537408998695,Left,UK,Male,NA
Phocoena-phocoena_NHMUK1933.15_2_reflected.pts,NHMUK_1933.15,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.5688974658514374,0.22331737850115002,1.7246408530952693,0.899053827680412,-0.4042480618970952,-0.05093244346928538,-0.2990383601732968,-0.5201504488129474,-0.8282654366371139,0.032926368496001175,0.01347168852847103,0.00470652481212392,Left,UK,NA,245
Phocoena-phocoena_NHMUK1933.17_2.pts,NHMUK_1933.17,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-4.000291717341219,0.0562068505271166,-1.9097231890622022,-0.12024250632967481,-1.0862527568068399,0.8131776432493012,0.5227087292536235,1.0244363769781717,-0.01978033263275092,0.03935250936000636,0.007106111528838959,-8.681428387785398e-4,Right,UK,Male,NA
Phocoena-phocoena_NHMUK1934.45_2_reflected.pts,NHMUK_1934.45,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,1.340999887537924,0.08139228041527274,1.3885326949564198,-0.9032697870130507,-0.2175966790839956,0.11528132678003325,-0.5641754919448574,0.35762762336959575,0.8290026542988256,-0.010584162653302113,-0.0036429538818372577,0.004282958536582761,Left,UK,Male,NA
Phocoena-phocoena_NHMUK1934.51_2_reflected.pts,NHMUK_1934.51,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-2.187607900295142,2.048489879023378,-0.7350806892248979,0.23609772927224784,-0.18889949853773447,-1.22546707126425,-0.22705280807203326,0.2511161303615831,-0.2260412971251473,-0.037740532683119936,-0.004757518583954121,0.010030991277770896,Left,UK,NA,251
Phocoena-phocoena_NHMUK1965.3.30.1_2_reflected.pts,NHMUK_1965.3.30.1,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,2.9210281617430907,-0.37570743443514487,-1.1299975977956087,3.0812684847868885,0.8763574752850214,-0.18618781598345474,-0.6902360707565471,0.6032086365586589,-0.13331104527413928,0.015844353260341577,-0.008254573555840597,-7.795063534642892e-4,Left,UK,Female,259
