filename,specID,taxon,family,group,habitat,habitat1,habitat2,diet,feeding,feeding1,feeding2,bodysize,divetype,hearingtype,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Berardius-arnuxii_NHMUK_CE1982.315_2.pts,NHMUK_CE1982.315,Berardius_arnuxii,Ziphiidae,Other,oceanic,oceanic,oceanic,generalist,suction,suction,suction,9000,verydeep,Type2,4.482925489150835,0.5204126005861736,0.834294125475851,-1.173442441771361,1.6620579180683746,-0.3049990232324395,2.1324080575842475,-0.10802299445812469,0.5979980085339262,-0.12556944772940015,-0.029298647252129578,-0.0029875879290502012
Cephalorhynchus-commersonii_NHMUK_CE1952.6.20.4_2.pts,NHMUK_CE1952.6.20.4,Cephalorhynchus_commersonii,Delphinidae,Other,nearshore,nearshore,nearshore,generalist,raptorial/suction,raptorial,suction,66,shallow,NBHF,-1.891943314921365,1.0029860774675519,0.9807789530913062,-0.14884144220187556,-0.29896237147332483,-0.9449029119204324,0.7991391987460248,-0.17235781588648313,0.4847559289389095,-0.133341440473184,0.026847656880165972,-6.960195604153309e-4
Cephalorhynchus-heavisidii_NHMUK_CE1948.7.27.1_2.pts,NHMUK_CE1948.7.27.1,Cephalorhynchus_heavisidii,Delphinidae,Other,nearshore,nearshore,nearshore,generalist,raptorial/suction,raptorial,suction,75,shallow,NBHF,-1.5621703613169242,0.23001725154835342,-0.37434829839086375,1.0597896914745013,0.4847861882732425,-0.6381712544049373,0.21260418640344236,-0.5590484997920637,-0.18666330629518274,-3.052829481083657e-4,0.04974989293117713,0.0022932112875778585
Delphinapterus-leucas_NMBCIII1086.pts,NMBCIII1086,Delphinapterus_leucas,Mondontidae,Other,nearshore/oceanic,nearshore,oceanic,fish,suction,suction,suction,1600,mid,Type2,4.452253653646186,4.701848574155201,-0.5093312083729922,-2.0185165514991503,-1.9491115588470045,0.057395578903508715,-0.7433157813435979,-0.11764970781678064,-0.2470137432853799,-0.22064993702342592,-0.0148203290506369,0.0866166425056453
Delphinus-delphis_NMB6679.pts,NMB6679,Delphinus_delphis,Delphinidae,Other,nearshore/oceanic,nearshore,oceanic,fish,raptorial,raptorial,raptorial,200,mid,Type2,-1.517036896357199,1.1496895913237455,-1.4111627784428717,-0.6398789527077036,-0.29778340920626245,-0.7513582045996376,0.23464409753180263,0.20304079663500463,-0.306208489784042,0.04998422381653277,0.0015169338941625789,-0.020096932616594215
Feresa-attenuata_NHMUK_CE1874.11.25.1_2.pts,NHMUK_CE1874.11.25.1,Feresa_attenuata,Delphinidae,Other,oceanic,oceanic,oceanic,generalist,raptorial,raptorial,raptorial,225,deep,Type2,-0.055218071644978745,0.13214654403112702,0.23292659148634265,0.772369677023173,0.3379586041326107,-0.3992977473280318,-0.1389854541555276,-0.28163549102641305,-0.9248040101578279,0.010046673917334915,0.032199891923092305,0.015243656310604401
Globicephala-melas_NHMUK_CE1947.12.31.4_2.pts,NHMUK_CE1947.12.31.4,Globicephala_melas,Delphinidae,Other,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,2300,deep,Type2,2.248198117613014,1.9927762111971046,-0.9427004107813314,3.00417352142689,0.3562999185490329,-0.971909652302235,-0.6203334346101548,0.6851165946459942,0.5884487121770436,-0.04273806773308575,0.046929229387492166,0.04481984152863572
Grampus-griseus_NHMUK_CE1920.12.16.1_3.pts,NHMUK_CE1920.12.16.1,Grampus_griseus,Delphinidae,Other,nearshore/oceanic,nearshore,oceanic,cephalopods,suction,suction,suction,500,deep,Type2,2.2568155316772,1.8418008295225876,-1.6063871803817986,1.242580509918046,0.8719265694266813,0.11703130385971888,-0.33337183436479645,0.13607047501849973,-0.27208870478021563,0.022752157696278755,-0.011066727115785695,0.06124286419821125
Hyperoodon-ampullatus_NHMUK_CE1862.12.2.2_2.pts,NHMUK_CE1862.12.2.2,Hyperoodon_ampullatus,Ziphiidae,Other,oceanic,oceanic,oceanic,generalist,suction,suction,suction,10000,verydeep,Type2,7.900694562623109,-2.6405212066801615,1.2689028961597995,-0.4211355405183576,1.2762009247627268,-1.7625534628773658,-1.3851634426261126,0.2708677461608293,0.20766604500764213,0.08021796373731216,-0.03717822641169283,-0.02934359508405462
Hyperoodon-planifrons_NHMUK1934.7.23.3_2_reflected.pts,NHMUK1934.7.23.3,Hyperoodon_planifrons,Ziphiidae,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type2,4.406629750581866,-1.6681699725371062,0.7320367231685356,-0.3507678875559248,-1.1410849690745628,-1.474631464114745,0.38787824196342796,0.5391134472590634,-0.0515759238437896,0.01354197068014358,0.028116328832300856,0.016664912052658038
