filename,specID,taxon,family,group,habitat,habitat1,habitat2,diet,feeding,feeding1,feeding2,bodysize,divetype,hearingtype,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,side,origin,sex,cbl
Phocoena-phocoena_NHMSW1954.15_2_reflected.pts,NHMUK_SW1954.15,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.06302527047983546,0.010456089960094716,-0.014293356739593838,-0.03004927734405437,-0.03880781376043831,-0.006136547612458235,0.0030345233714517196,-0.021007506122446645,0.022143556256805717,0.034087193511909204,-0.020561482708013272,-0.0024656612042836808,0.010968818604499421,-0.00804969495746192,0.02215081325172426,-0.0035215423490427963,-3.58335928630432e-4,Left,UK,NA,251
Phocoena-phocoena_NHMUK_1846.12.15.6_2_reflected.pts,365B,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.04182921991696182,0.017382898882310416,0.02023880649505644,-0.005251174679797028,0.01706119445408407,-0.04721215940746837,-0.0031383955893587038,-0.002316258117758201,-0.01728670086389464,-0.004254643481949488,-0.024314499804466302,0.014869489020188793,-0.010129611581515761,-0.02354168832610495,-0.012612499300900132,-0.00852594655911264,-0.012730828545036517,Left,UK,NA,241
Phocoena-phocoena_NHMUK_1873.6.3.45_2_reflected.pts,365I,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.1658141857433397,-0.050143661818903985,0.014757234512443096,-0.029263880969487496,0.05611297442404002,0.010695413285479497,0.02146788107515899,0.018046652787124084,0.004767973037706351,-0.0017149108300589305,-0.004420278485480302,-0.0024270533388136154,0.006403014785846467,0.014201787247608082,0.0035445041286403032,-0.005127278636901384,-3.362434921069301e-4,Left,Atlantic,NA,NA
Phocoena-phocoena_NHMUK92.265_2_reflected.pts,NHMUK_92.965,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.05595186976116087,0.014350791546618514,0.027804966797833588,-8.219347500852638e-4,-0.03323086675483716,0.004731574962815258,0.005412034646516757,-0.005963795227366017,0.003292991062730258,-0.028960921017305834,-0.0018295600665969353,0.02358023447851708,-0.02486728933751828,0.008948723931959923,0.006854513216534854,-0.00502150718414115,0.019914033068327654,Left,UK,NA,NA
Phocoena-phocoena_NHMUK1925.4.29.1_2_reflected.pts,NHMUK_1925.4.29,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.05212790582278233,0.011999326473490725,-0.04477834363289091,0.011941411702864781,0.004694120410159975,-0.047620461420994936,0.013820666341497444,0.012284586723186958,-0.0030268519750024096,0.00881057346740651,0.01919352794567814,-0.005933567853531279,0.002333640062258028,-0.004891943107533806,-0.0036374193613253553,0.02241229980395398,0.017077817187631444,Left,UK,Male,NA
Phocoena-phocoena_NHMUK1933.15_2_reflected.pts,NHMUK_1933.15,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.019250055201013777,-0.02405885277037583,-0.03796747651483221,0.036433750156717556,-0.0029899495961816735,0.04694161455962379,0.0045133573148870235,0.00479654118015816,-0.035744221814746846,0.014935333120917067,0.0041623351437860895,0.02311405616603835,0.01111453946443459,-0.017327375366976035,-0.0013246685321398647,-0.0038510379981657734,0.004655177633861045,Left,UK,NA,245
Phocoena-phocoena_NHMUK1933.17_2.pts,NHMUK_1933.17,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.02435780048595517,0.02789613697571599,0.02078380358890826,0.05408599062525065,0.022937520213454465,0.01843680752021647,-0.008999813960310089,0.004326059241673145,0.03828945689203231,-0.014815391234540731,-0.029090471686591207,0.004779315819083046,0.011863074338918908,-0.003604637272309349,0.0014091978755229875,0.016542177009188475,-0.0010619634320274685,Right,UK,Male,NA
Phocoena-phocoena_NHMUK1934.45_2_reflected.pts,NHMUK_1934.45,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.07777163857485536,-0.04632515032812502,0.0168776590500354,-0.04148617225370855,-0.010108564245649118,-0.004041133344016471,0.0071036830649388516,-0.017501419189546785,0.025513321516493426,-0.007531147534465222,0.026764820642294494,0.026387216077496445,0.016231349261283064,-0.002081186649196529,-0.01175715404724545,0.0068742462754438054,-0.006710483326160373,Left,UK,Male,NA
Phocoena-phocoena_NHMUK1934.51_2_reflected.pts,NHMUK_1934.51,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,0.036210032186776195,-0.013601181757538272,0.06868551202788811,-0.007502319270897852,-0.03157631391123564,0.0013320904473106132,-0.007436357444569767,0.011911817511310993,-0.026417347004196644,0.02176353310185918,-0.020700470843680513,-0.009756278414723533,0.009203518599700564,0.017307175656834338,-0.01713185894846591,0.007146844946402569,0.00619401198156065,Left,UK,NA,251
Phocoena-phocoena_NHMUK1965.3.30.1_2_reflected.pts,NHMUK_1965.3.30.1,Phocoena_phocoena,Phocoenidae,Phocoena_phocoena,nearshore/oceanic,nearshore,oceanic,generalist,suction,suction,suction,75,shallow,NBHF,-0.01793235627671186,0.03202191283021304,0.007047467259973014,0.024030366578409873,0.02727489720009584,0.011303341817838089,0.011771128241422823,-0.06269318363177159,-0.005165104258326141,0.013991132007544661,0.012195970945841524,-0.01105621497669406,-0.010148602408778046,0.010456201289525683,-0.009263915310248482,-7.859735243139341e-4,-0.0016843614967111432,Left,UK,Female,259
