"","filename","taxon","group","type","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26"
"1","juvpphocL.pts","Phocoena_phocoena","Phocoena_phocoena","living",-0.211054020985453,0.0222529362806935,-0.177310446925351,0.0458201466494961,-0.0188473714011297,0.0128987812041902,-0.0384557391420945,0.023734975721464,-0.00256384569432145,0.00127314582251665,0.000314303988841453,0.00741440648949089,0.0111370111651039,-0.0177749873094687,-0.00555379928860362,0.00825328616540578,0.00294594238603524,0.00178896797390325,0.00564832262786312,0.00426387763107503,-0.00164274297420507,-0.00172723745651802,-0.00342241485376887,-0.00294740285661697,0.000109350120084114,0.0032027611418586
"2","New_Miophocaena.pts","Miophocaena_nishinoi","Phocoenidae","fossil",0.0715886136983023,-0.041560375834022,-0.00812292392034246,0.0403517798443093,-0.0339310256761951,0.0184425405916119,-0.0083449229340138,-0.0364825703717092,-0.0112239142339962,-0.0146207442058739,0.03606596987969,0.0311348710383198,-0.0113261382935553,-0.0257916102358171,0.0409591063749871,-0.0229500977702279,-0.0115390338285896,0.00800328473476409,-0.00347771266143568,-0.00484514097849002,0.00383380986414973,-0.00568847913663015,0.00818005937258766,-0.00273810753043632,-0.00234275459332777,-0.000916412375186561
"3","NewPterophocoena_reverse.pts","Pterophocaena_nishinoi","Phocoenidae","fossil",0.136569923569061,0.0948454145166938,-0.0186562008318971,0.0221560254141558,-0.107273675062554,-0.0998538353842367,0.0312387739324937,0.0245349247006398,0.00740252581871928,0.00212228313144093,-0.0224974782552156,0.00332259965942352,0.00489525938107637,-0.00375589744909065,0.00923329182978524,0.00527212522865836,-0.00178958508012781,-0.00250970167828692,-0.0091895396303932,0.00191557251113594,0.00478064442774744,0.00524445718161484,0.0035329666917727,-0.00120928978306639,0.000230239480536067,0.00135845807900799
"4","numataphoc_NFL_7.pts","Numatophocoena_yamashitai","Phocoenidae","fossil",0.0874868729470502,-0.0153182361314484,0.0220831026307714,0.0581926567044954,-0.0320744225865043,0.0589654585930138,-0.000286951960904944,-0.014740243456035,0.0482243986205043,0.0431088647712037,-0.01274770286667,0.0265232574506216,0.00634678107699524,0.000636805778514935,-0.0276695244563446,0.00127672269900391,0.00319641318115918,0.00339154857228255,-0.0073087672880026,0.0125171052124602,-0.00962738649477823,-0.00462354902776612,0.0108658256280363,0.00278930155446142,0.00690212971000322,-0.00256042068458484
"5","Phocoena-dioptrica_NHMUKCE1939.9.30.1_reverse.pts","Phocoena_dioptrica","Phocoenidae","living",-0.260297110868401,-0.0314157511955116,0.0339688961707167,-0.10211994720173,-0.0240935652549917,-0.0143689156889906,0.0690868309651816,-0.0142854994334484,0.00372023742174336,0.00177947002674709,0.00102678900573217,0.0284098544929369,0.0108748284796337,-0.00777689070347882,-0.000483891667071648,-0.00898146640775543,0.0113396733346948,-0.0111776568027472,-0.0048479469218842,0.00806494270301909,-0.00024246455662304,-0.00651527516469903,-0.00476285047165983,-0.0015048905467486,0.000292630279018094,0.00044616801928619
"6","Phocoena-phocoena_NHMSW1954.15_2.pts","Phocoena_phocoena","Phocoena_phocoena","living",-0.0440053353303236,0.00961630670399069,0.0366129619712591,0.024189296016042,0.0180145889321579,-0.0432431939037672,-0.0350056684133585,-0.0320964109390239,0.0151321555112186,0.0244798282522399,0.0173179943732181,-0.0127225760133465,-0.015567007171285,0.0191197139464531,0.0125636220023041,0.0145069209869635,0.0138505194795417,0.00508301960796058,-0.00596676976094456,0.00326534405930115,0.000499028555804515,-0.0146494935255366,-0.0108131194060243,-0.0211712033476758,0.00669648020604834,0.00716682902132625
"7","Phocoena-phocoena_NHMUK1925.4.29.1_2.pts","Phocoena_phocoena","Phocoena_phocoena","living",-0.073521402509802,0.0164588324537042,0.0346198442917803,0.00809812550570866,0.00685661302502681,-0.0135146697144597,-0.00207276113275813,0.0381478027274991,-0.0281112364416392,-0.0109078556483563,0.0319056302267989,0.0316951490574824,-0.0343764497402693,0.0161771413090687,-0.0133930593347424,0.0147371139216491,0.0103823338929989,0.0101085622158093,0.0011569545182473,-0.00812862669079389,-0.00929825347222472,0.0205515904321373,0.00770601542969545,0.000216716207265269,0.00736856860084926,-0.0022612779319258
"8","Phocoena-phocoena_NHMUK1933.15_2.pts","Phocoena_phocoena","Phocoena_phocoena","living",0.0336720774591704,0.00461355904196859,0.045614623608255,-0.0129766846753247,0.0105128917876621,0.0119275264385484,-0.0350293210221655,0.0295244362825944,0.0113706539994918,-0.0299217579607648,-0.0136974835265126,-0.0069439768088888,-0.020791487145429,-0.0358127663258337,-0.0212459564479178,-0.0163463772273679,-0.00789277052722754,-0.0254761210935876,-0.0151170419491107,-0.00710479697618731,-0.0105476470165739,-0.000692240474625158,-0.0048576709819879,-0.0089630093770433,-0.000257742436493592,0.00604906439497917
"9","Phocoena-phocoena_NHMUK1933.17_2_reverse.pts","Phocoena_phocoena","Phocoena_phocoena","living",0.00700230026860084,-0.0579046009758896,0.000832586978942533,-0.00374962098863511,0.0147581280209732,-0.0118944699794783,0.00785609651285851,0.0213668054332876,0.0156701701266538,0.0117942077421779,-0.044010978406086,0.0222081830709917,0.000132577946411576,0.0154138584563089,-0.00115429098528797,-0.0132002940972674,-0.0135790972212352,0.0224892302634152,0.0128887514980024,-0.0278589891157237,-0.00410115244185535,-0.00553272682477916,-0.00963653724194924,-0.00330634150494465,-0.0066537523942257,0.00422735877570681
"10","Phocoena-phocoena_NHMUK1934.45_2.pts","Phocoena_phocoena","Phocoena_phocoena","living",-0.039858186263372,0.000748415735325399,0.0405148000173897,-0.010803843772108,0.0502551429026305,-0.0398335793359583,-0.0188003893579214,0.0317815231543528,-0.0436306368915182,0.0150579122389059,-0.00570381804225854,-0.0191443809249807,0.020814002187897,-0.0177400310162057,-0.00255150891540627,-0.0105431819667205,0.00360942494094186,0.0232720046358423,-0.0110360831145314,0.00540156452696172,-0.00816636970739797,-0.0172708532422333,0.014892726528571,0.00518129280932341,0.000545737430301241,-0.00480251063565375
